,cluster,polarity,target_group,target_ppto,target_word,source_image_schema_group,source_word,llm_expl,sentence
1153,23,left,Immigrants,person,Immigrants,other,Stop,"The verb 'stop' is used metaphorically here. While 'stop' can have a literal meaning of halting physical movement, in this context, it refers to the abstract action of preventing immigrants from entering a country. The verb does not describe a direct physical action against the immigrants but rather an effort to impede their movement, which transcends the literal meaning of the verb.",'With 1 Statement Trump Had Caravan Organizer in Custody &amp;#038; 3 Countries Desperately Trying to Stop Immigrants'
1411,23,left,Immigrants,person,God,other,given,"The verb 'given' is used metaphorically to attribute a divine origin to the 'accent,' implying that the accent is an inherent, innate quality bestowed by God. This transcends its literal meaning of a physical action, instead using 'God' as a source to characterize the accent as natural or divinely endowed, which is a metaphorical framing.",'At 69 I will never accept “making FUN” of  Immigrants who speak English w/their God given accent!'
1423,23,left,Immigrants,person,I,other,mean,"The verb 'mean' is used metaphorically to describe the target noun 'I.' Instead of describing a physical action, it transcends its literal meaning to signify that 'I' represents or stands for immigrants, implying a symbolic or conceptual relationship rather than a direct physical action.",'I mean immigrants'
1441,23,left,Immigrants,person,They,other,draining,"The verb 'draining' is used metaphorically to characterize 'They' as causing a depletion or exhaustion of resources/energy, rather than describing a literal physical action of removing liquid. It personifies 'They' as agents of draining, transcending the verb's literal meaning.",'They are draining us when we have a Americans in need'
1473,23,left,Immigrants,person,I,other,support,"The verb 'support' is used metaphorically to indicate endorsing or backing a political action (shutting down the government) rather than describing a physical act. It transcends its literal meaning of providing physical assistance, instead conveying ideological agreement with the target noun 'I' as a political stance.",'I support you shutting down the government in order to get the wall and immigration reform.'
1481,23,left,Immigrants,person,them,other,keep,"The verb 'keep' is used metaphorically to describe maintaining a state of exclusion ('them out') rather than a physical action. The phrase 'keep them out' represents a conceptual metaphor for preventing entry or maintaining separation, which transcends the literal meaning of 'keep' as a physical action of holding or maintaining an object.",'Now compare that to the $5B it will cost to keep them out.'
1587,23,left,Immigrants,person,immigrants,other,pander,"The verb 'pander' is used metaphorically to describe the act of supporting or advocating for 'Open Borders' as a policy, rather than describing a physical action. The metaphorical aspect lies in the implication that 'pandering' involves catering to desires or interests (in this case, the policy of Open Borders) in a way that may be seen as exploitative or misguided, transcending its literal meaning of physically catering to someone's needs.",'Now they pander for Open Borders putting citizens&amp;legal immigrants at risk.'
1672,23,left,Immigrants,person,senator,other,call,"The verb 'call' is used metaphorically here, where it transcends its literal meaning of physically speaking to someone. Instead, it is employed to assign a label or term ('immigrants') to the invaders, which is a conceptual extension beyond the physical action of speaking. This usage metaphorically frames the senator's act of categorization as a form of naming or labeling, rather than a direct verbal interaction.",'Why does a senator call these invaders ‘immigrants’?'
1835,23,left,Immigrants,person,people,other,have,"The verb 'have' is used metaphorically to attribute abstract qualities ('medieval values') to the target noun 'people'. This extends beyond literal possession of physical objects, instead representing a conceptual metaphor where 'have' signifies the acquisition of abstract attributes, not a tangible action.","'Immigration Changes A Society -- And, Let's Be Honest, Sometimes In Negative Ways (when people who come to the free Western world have medieval values)'"
2040,23,left,Immigrants,person,I,other,have,"The verb 'have' is used metaphorically to describe the abstract emotional state of 'compassion' as something that can be 'possessed' by the subject 'I'. This transcends the literal physical action of holding or possessing an object, instead attributing an abstract quality to the target noun.","'I have compassion for the sick, elderly, disabled, disease-ridden, etc., but I don't want anyone else to be exposed to these contagious diseases.'"
2186,23,left,Immigrants,person,him,other,rest,"The verb 'rest' is used metaphorically to describe the state of 'him,' transcending its literal meaning of physical inactivity. 'Rest in peace' is a euphemism for death, where 'rest' symbolizes the cessation of life and the transition to an afterlife, rather than a physical action.",'Let him rest in peace.'
2316,23,left,Immigrants,person,hero,other,make,"The verb 'make' is used metaphorically to describe the media's role in shaping public perception and constructing a narrative that portrays the immigrant as a 'hero.' This transcends the literal meaning of 'make' (physical creation) and instead conveys a conceptual transformation of the target noun 'hero' through societal influence, akin to personification or metaphorical construction.",'This was a setup for the media to make a 'hero' out of an immigrant.'
2611,23,left,Immigrants,person,immigrants,other,exploit,"The verb 'exploit' is used metaphorically to depict the act of taking advantage of immigrants' vulnerabilities for political gain, transcending its literal meaning of physical extraction or utilization. It conveys manipulation and strategic exploitation rather than a direct physical action.","'Take every opportunity to exploit the young, immigrants and naive for votes.'"
2765,23,left,Immigrants,person,I,other,taken,"The verb 'taken' is used metaphorically as part of the phrasal verb 'taken out,' which conveys the abstract action of expressing or venting anger. This usage transcends the literal physical act of taking something, instead representing an emotional or psychological process. The metaphorical aspect lies in the conceptualization of anger as something that can be 'taken out' rather than a tangible object.",'The times for which I personally have the most shame are those instances when I have taken out my anger at someone more powerful than me on someone less powerful than me.'
2814,23,left,Immigrants,person,They,other,deserve,"The verb 'deserve' is used metaphorically to characterize 'They' by assigning a moral or evaluative quality (not being worthy of the role of judges) rather than describing a physical action. The verb transcends its literal meaning of 'being entitled to something' to convey a judgment about their qualifications, which is a metaphorical use rather than a literal physical action.",'They don’t deserve to be judges.'
2855,23,left,Immigrants,person,immigrants,other,supports,"The verb 'supports' is used metaphorically to indicate endorsement or backing of a political figure (Pres Trump) by the target noun 'immigrants'. This transcends the literal meaning of providing physical support, instead conveying a figurative act of political allegiance.","'Shame on you you cannot twist our mind, Legal law abiding immigrants supports Pres Trump'"
2919,23,left,Immigrants,person,They,other,care,"The verb 'care' is used metaphorically to convey an emotional state of indifference or lack of concern, transcending its literal meaning of physically looking after something. Here, 'care' describes the abstract attitude of 'They' towards America and the speaker, representing a non-physical, conceptual relationship rather than a direct physical action.",'They don’t care about America or us!!!'
2991,23,left,Immigrants,person,They,other,deserve,"The verb 'deserve' is used metaphorically to characterize 'They' by implying entitlement or moral/rightful claim to something, transcending its literal meaning of earning through merit. The use of 'deserve' here conveys a conceptual equivalence of entitlement rather than a physical action.","'They certainly deserve everything I have earned, without paying any dues.'"
3090,23,left,Immigrants,person,it,other,make,"The verb 'make' is used metaphorically to describe the abstract concept of 'succeeding' or 'managing to achieve something' rather than a physical action. The phrase 'make it' does not refer to creating a tangible object but instead conveys the idea of overcoming challenges or reaching a goal, which transcends the literal meaning of the verb.","'Immigrants who received zero welfare, criminals were executed and those who couldn’t make it on their own got sent back.'"
3092,23,left,Immigrants,person,who,other,make,"The verb 'make' is used metaphorically in the phrase 'make it on their own,' where it does not refer to a physical action of creating or producing. Instead, it conveys the abstract concept of succeeding or managing to achieve something independently, which is a common idiomatic usage transcending its literal meaning.","'Immigrants who received zero welfare, criminals were executed and those who couldn’t make it on their own got sent back.'"
3131,23,left,Immigrants,person,you,other,see,"The verb 'see' is used metaphorically to convey the act of perceiving or judging 'migrant toddlers' as 'subhuman' or something, which transcends its literal meaning of visual observation. It represents a conceptualization of perception or moral judgment rather than a physical action.",'Or do you see migrant toddlers as subhuman or something?'
28,23,left,Political Parties,person,we,other,support,"The verb 'support' is used metaphorically to signify endorsing or upholding the law, which transcends its literal meaning of providing physical assistance. Here, 'support' represents a conceptual endorsement rather than a tangible action, personifying 'we' as actively maintaining the law.","'Also Democrats: ""Unborn life isn't life"" ""We create magnets and sanctuary for illegal immigration but we support the law"" ""Any semi-auto firearm is an assault weapon"" ""Manufacturing jobs won't return to US"" ""2% GDP is the new normal""  #WhatAParty'"
152,23,right,Immigrants,person,immigrants,balance,keeping,"The verb 'keeping' is used metaphorically to describe the action of maintaining immigrants in a state beyond necessity, transcending its literal meaning of physically holding or preserving something. Here, 'keeping' implies a conceptual or administrative action rather than a direct physical act, personifying the target noun 'immigrants' in the context of occupancy and policy.","'the occupancy of those beds, that would trigger keeping those beds filled, aka keeping immigrants beyond necessary.'"
186,23,right,Immigrants,person,ancestors,other,listed,"The verb 'listed' is used metaphorically to describe the ancestors being recognized or categorized as immigrants, transcending the physical action of listing. The phrase 'listed as such' implies a conceptual categorization rather than an actual physical list, personifying the ancestors' status through the verb's figurative use.",'I love being able to look back and see my immigrant ancestors listed as such.'
513,23,right,Immigrants,person,she,other,supports,"The verb 'supports' is used metaphorically to describe the abstract action of providing aid or backing to 'imm survivors,' which transcends its literal physical meaning of holding something up.",'. said she supports imm survivors during #DemDebate.'
636,23,right,Immigrants,person,abusers,other,hire,"The verb 'hire' is used metaphorically to describe the treatment of migrants as non-human entities. The metaphorical aspect lies in the implication that migrants are being treated as objects (like 'abusers') that can be 'hired' rather than as individuals with inherent humanity, transcending the literal meaning of the verb.",'It’s almost like we only hire child abusers because the official policy of   The United States of America   is that migrants are not human.'
640,23,right,Immigrants,person,I,other,#FORGIVE,"The verb 'FORGIVE' is used metaphorically here to represent an emotional or psychological process rather than a physical action. While forgiving is not a physical act, the metaphorical use arises from the verb's application to 'I' (the subject), implying an internal resolution or release of negative emotions toward others. This transcends the verb's literal meaning of pardoning a tangible action, instead conveying a conceptual shift in the subject's mental state.",'#Scripture instructs... I “MUST” FORGIVE    #Republicans for the #Murdered #abused #DaytonShooting #ElPasoShooting #ConcentrationCamps #ICEraids #rape #injury to #America and #immigrantsmakeamericagreat SO I #FORGIVE YOU! 🤬'
676,23,right,Immigrants,person,They,other,see,"The verb 'see' is used metaphorically to describe how 'They' perceive or interpret the World Cup as 'immigrant positive.' It transcends its literal meaning of visual perception to convey a conceptual understanding or evaluation of the World Cup, indicating a metaphorical framing of their perspective.",'They see the World Cup as immigrant positive.'
816,23,right,Immigrants,person,Rapists,other,Calling,"The verb 'calling' is used metaphorically to describe the act of labeling or accusing Mexican immigrants as 'rapists,' which transcends its literal meaning of verbal communication. It conveys a conceptual metaphor where 'calling' signifies assigning a derogatory label, rather than describing a physical action.",'Trump Says Calling Mexican Immigrants Rapists Was 'Peanuts' in Comparison to the Truth   Trump Hides His Plutocratic Agenda with Racist Scapegoating  #racism'
838,23,right,Immigrants,person,immigrants,other,Treating,"The verb 'treating' is used metaphorically to characterize 'immigrants' as 'cattle,' which is an animalization. This transcends the literal meaning of 'treating' (providing care or action) by implying a dehumanizing comparison, assigning non-literal attributes to the target noun.",'Treating illegal immigrants themselves like cattle serves no purpose other than fulfilling someone's power fantasy.'
846,23,right,Immigrants,person,immigrants,other,stop,"The verb 'stop' is used metaphorically to describe the act of preventing immigrants from receiving aid, transcending its literal meaning of halting physical movement. It conveys obstruction or hindrance in a non-physical sense, personifying the entities (Nielsen/Donald & Melania/DHS/ICE/CBP) as actively blocking access to resources.","'Meanwhile there are hundreds of great Americans donating &amp; taking water, food, clothing but these monsters Nielsen/Donald &amp; Melania/DHS/ICE/CBP do all they can to stop immigrants from getting aid.'"
908,23,right,Immigrants,person,I,other,look,"The verb 'look' is used metaphorically in the phrase 'look forward to', where it conveys the concept of anticipating or expecting something (e.g., 'forward' as a direction of time) rather than the literal physical act of seeing. The verb transcends its original meaning to express a mental or emotional expectation, not a tangible action.",'I look forward to learning how that’s not opportunistic racism'
913,23,right,Immigrants,person,them,other,stop,"The verb 'stop' is used metaphorically to characterize 'them' by implying the prevention of their action (entering the country) rather than describing a physical act of stopping. The verb transcends its literal meaning of halting movement to convey an intention to block an abstract process, reflecting a metaphorical use of the source verb.",'He hinted at shooting migrants to stop them from entering the country.'
925,23,right,Immigrants,person,immigrants,other,used,"The verb 'used' is metaphorically applied to the target noun 'immigrants' to describe the strategic employment of the abstract concept 'anti-blackness' as a tool or tactic. This transcends the literal physical action of using an object, instead representing a metaphorical 'use' of an idea to signal solidarity with whiteness, aligning with the source verb's extension to abstract contexts.",'Same way italian and irish immigrants used anti-blackness to signal solidarity with whiteness.'
963,23,right,Immigrants,person,you,other,see,The verb 'see' is used metaphorically to describe the act of understanding or comprehending an abstract concept (the progression to immigrants) rather than a literal physical action. The metaphorical aspect lies in equating the cognitive process of recognizing a pattern or trend with the literal act of visual perception.,"'Yes, once you believe the myths that the reason you are not wealthier is because the government is paying more of your taxes to welfare queens than you keeping more money you can easily see the progression to immigrants.'"
977,23,right,Immigrants,person,immigrants,other,make,"The verb 'make' is used metaphorically to convey that immigrants contribute to America's greatness, transcending its literal meaning of physical creation. It signifies an abstract impact rather than a tangible action, implying immigrants 'cause' or 'result in' America's prosperity without direct physical production.",'UWSP students know immigrants make America great.'
1058,23,right,Immigrants,person,immigrants,other,using,"The verb 'using' is employed metaphorically to characterize 'immigrants' as disposable resources, transcending its literal meaning of employing someone for a task. The phrase 'using immigrants in to build whatever we need' extends the verb's application to imply exploitation and dehumanization, comparing immigrants to tools or objects that are discarded ('tossed out like trash') after their utility is exhausted.",'This country has a history of using immigrants in to build whatever we need and then tossing them out like trash when the job is done and we don't need them anymore.'
1059,23,right,Immigrants,person,we,other,need,"The verb 'need' is used metaphorically to personify 'we' as having the capacity to require or not require immigrants, attributing a human-like agency to the collective 'we' that transcends its literal meaning of a physical or tangible requirement.",'This country has a history of using immigrants in to build whatever we need and then tossing them out like trash when the job is done and we don't need them anymore.'
1106,23,right,Immigrants,person,they,other,waiting,"The verb 'waiting' is used metaphorically to characterize 'they' by comparing the immigration process to waiting for a visa. This simile personifies the process, implying that the act of going through immigration is being treated as if it were a passive waiting scenario, transcending its literal physical action.","'So, basically, everyone can come into the US, and if they get caught, just let them carefully go through the immigration process as if they were waiting for a visa in another country?'"
1107,23,right,Immigrants,person,daughter,other,using,"The verb 'using' is applied to the target noun 'daughter' in a way that transcends physical action. Here, 'using' metaphorically describes the father's strategic or symbolic employment of his daughter as a means to reject Trump, rather than indicating a literal physical action. The metaphorical aspect lies in the conceptualization of the daughter as a tool or instrument for conveying a message, which extends beyond the literal definition of 'using'.",'Mollie Tibbetts’ father just sent Trump a powerful message at her funeral  via  Mollie's father rejected Trump using his daughter 4 his viscious lies about immigrants.'
1123,23,right,Immigrants,person,we,other,end,"The verb 'end' is used metaphorically to describe the action of stopping a systemic practice ('prison for profit') rather than a physical action. It transcends its literal meaning of terminating something tangible, instead conveying the idea of ending a harmful system, which is a conceptual metaphor.",'I can hardly wait till we can end prison for profit . nobody should make money on misery its totally wrong esp with the migrants they need to revamp the entire dept of homeland security top to bottom'
1178,23,right,Immigrants,person,me,other,join,"The verb 'join' is used metaphorically here to characterize the target noun 'me' by implying an action of being with or participating in the speaker's company, which transcends the literal physical act of joining. The verb is not describing a tangible action but rather an abstract or relational connection, aligning with metaphorical usage as it involves an emotional or social interaction rather than a physical one.",'Will you join me?'
1187,23,right,Immigrants,person,immigrants,other,treating,"The verb 'treating' is used metaphorically to characterize 'immigrants' by comparing them to 'trash,' which personifies or dehumanizes the target noun. This transcends the literal action of treating, instead conveying a figurative attitude toward immigrants as disposable or undesirable.","'If the far right stopped treating immigrants like trash, you might get some of their votes.'"
1190,23,right,Immigrants,person,You,other,support,"The verb 'support' is used metaphorically to represent endorsing or backing a policy/action ('putting immigrant children in cages') rather than describing a physical act of providing sustenance or structural assistance. It personifies the target noun 'You' as an agent of ideological endorsement, transcending its literal physical meaning.",'You support putting immigrant children in cages.'
1235,23,right,Immigrants,person,she,other,done,"The verb 'done' is used metaphorically to describe 'she' as having committed negative actions ('some crap'), transcending its literal meaning of completing a task. It conveys an abstract concept of wrongdoing rather than a physical action.","'Bailey didn’t have to fire them, she’s done some crap too and she was forgiven...they were all trying to help a little immigrant girl suspend them but not fire them #GreysAnatomy'"
1295,23,right,Immigrants,person,I,other,live,"The verb 'live' is used metaphorically to describe the existence or experience of 'I' within a specific condition ('reality'). It transcends the literal physical action of residing in a place, instead conveying the abstract concept of existing within a particular state or context, which is a metaphorical extension of the verb's meaning.",'I came from poverty and work with immigrants who need that ladder too but I live in a reality not a freaking fantasy of FREE!'
1347,23,right,Immigrants,person,I,other,finding,"The verb 'finding' is used metaphorically to describe the process of discovering common ground, which is an abstract concept representing agreement. The action of 'finding' here does not refer to a physical action but rather to the metaphorical act of identifying shared perspectives, transcending its literal meaning of locating something tangible.",'Hell must've froze over if Ann &amp; I are finding common ground on the H1B visa scam.'
1351,23,right,Immigrants,person,immigrants,other,blaming,"The verb 'blaming' is used metaphorically to characterize 'immigrants' by attributing an abstract action (assigning blame) to them, which transcends physical action. It involves a conceptual process of accusation rather than a literal physical interaction.",'But I still maintain that blaming immigrants is not the right view.'
1384,23,right,Immigrants,person,people,other,suffer,"The verb 'suffer' is used metaphorically to describe the target noun 'people' as enduring negative consequences (political turmoil, hardship) rather than a direct physical action. It transcends its literal meaning of experiencing physical pain or harm, instead conveying emotional or situational suffering caused by partisan politics.",'GOP still playing games in immigration while people suffer the consequences of their partisan politics games.'
1694,23,right,Immigrants,person,immigrants,other,calling,"The verb 'calling' is used metaphorically to signify assigning a derogatory label ('animals') to the target noun 'immigrants', transcending its literal meaning of verbal communication. This represents a metaphorical extension where the verb conveys the act of naming or categorizing, rather than describing a physical action.","'But we're at the point where trying to ""communicate"" is normalising calling immigrants ""animals"" &amp; an ""infestation"" &amp; calling for the abrogation of Treaties &amp; our Constitution.'"
1777,23,right,Immigrants,person,People,other,taken,"The verb 'taken' is part of the idiom 'taken aback,' which metaphorically conveys being surprised or shocked, not a literal physical action. It personifies 'People' by attributing an emotional reaction (shock) to them, transcending the verb's literal meaning of physically seizing or carrying.","'People, not just dems, were taken aback by the fact that he painted all immigrants as criminals.'"
1791,23,right,Immigrants,person,them,other,treating,"The verb 'treating' is used metaphorically to describe how settlers handled Africans, comparing them to 'property' (an inanimate object). This transcends literal physical action by implying a dehumanizing conceptual relationship, reflecting personification or analogy rather than direct physical interaction.",'Settlers who bought Africans for free labor until they were forced to stop treating them like property?'
1819,23,right,Immigrants,person,I,other,heard,"The verb 'heard' is used metaphorically to convey that the subject 'I' has received or learned information, rather than describing a physical action of auditory perception. The metaphorical aspect lies in the extension of 'heard' from its literal sensory function to a cognitive act of acquiring knowledge.",'I heard we’re paying $770 per person.'
1888,23,right,Immigrants,person,who,other,sold,"The verb 'sold' is used metaphorically to describe the abstract action of trading a vote for money. The source verb 'sold' (originally referring to the physical act of selling goods) is applied to the intangible concept of a 'vote,' implying a transactional exchange without literal physical possession transfer.",'Remember him come 2020 Susan Collins ( who sold her vote to this highest bidder for Brett (rapey) vote on the supreme court  Marco Rubio (immigrant decendent who turned his back for money on his fellow people)'
1958,23,right,Immigrants,person,immigrants,other,put,"The verb 'put' is used metaphorically to characterize the target noun 'immigrants' by implying the systemic dehumanization and oppression of immigrants, metaphorically 'placing' them into a state of confinement akin to concentration camps. While 'put' can have a literal meaning, in this context, it transcends physical action to convey a metaphorical representation of institutionalized suffering and control.",'He destroyed a system that was working fine to process people seeking asylum with 90% of people showing up for their hearings so he could put immigrants in concentration camps.'
1970,23,right,Immigrants,person,u,other,show,"The verb 'show' is used metaphorically to convey the idea of making people aware or illustrating the magnitude of the issue, rather than describing a physical action. It transcends its literal meaning of displaying something tangibly, instead implying a conceptual or emotional revelation.","'if u could show this all over America,they could see 4 themselves the magnitude of it criminals,kids not really w/family Cartels way getting em here.'"
1979,23,right,Immigrants,person,I,other,comprehend,"The verb 'comprehend' is used metaphorically to describe the target noun 'I' by characterizing the mental state of understanding or grasping a complex concept. The verb transcends its literal meaning of physically taking in information and instead refers to a cognitive process, personifying the noun 'I' as a subject capable of mental engagement with abstract ideas.",'People who think gun laws won't stop gun crime think metal walls will stop immigration and drug trafficking and that is a level of imperviousness to cognitive dissonance that I can't comprehend.'
2016,23,right,Immigrants,person,immigrants,other,stop,"The verb 'stop' is used metaphorically to describe preventing a process (immigrants from becoming citizens) rather than a physical action. It extends the source verb's meaning beyond its literal sense of halting movement, instead implying obstruction of a bureaucratic or procedural action.",'Hmmmm....so then why is your admin trying to stop 20 million LEGAL immigrants from becoming citizens??'
2264,23,right,Immigrants,person,Who,other,Put,"The verb 'Put' is used metaphorically to describe the administrative action of adding the pastor to a watch list. The verb does not refer to a physical action but rather signifies a procedural or institutional decision, transcending its literal meaning of physically placing something.",'A Pastor Who Was Put On A Watch List After Working With Immigrants Is Suing The US  via'
2265,23,right,Immigrants,person,who,other,crying,"The verb 'crying' is used metaphorically to describe the emotional state of the farmers, conveying their distress or sorrow due to the situation described (voting for Trump and inability to find workers). It transcends the literal physical act of producing tears, instead characterizing their emotional response to the circumstances.",'Oh btw tell the farmers who are crying bcuz they voted for Trump and can’t find workers bcuz he’s shipping out immigrants.'
2341,23,right,Immigrants,person,they,other,like,"The verb 'like' is used metaphorically to convey an emotional or mental state (disapproval) rather than a physical action. It characterizes the target noun 'they' by expressing their sentiment towards the Senator, transcending its literal meaning of physical affection or preference.",'Surely they hold the same philosophy of treating the current despised immigrants with respect for life as the Senator they don't like?'
2342,23,right,Immigrants,person,Mom,other,Loses,"The verb 'loses' is used metaphorically to describe the abstract concept of 'effort' rather than a physical action. While 'lose' can technically apply to abstract nouns like 'effort' (e.g., 'lose your temper'), its use here transcends the literal sense of losing a tangible object, instead conveying the failure of the effort as an intangible, conceptual endeavor.",'Tug-of-Love: Immigrant Mom Loses Effort to Regain Son Given to US Parents - ABC News -  via'
2345,23,right,Immigrants,person,immigrants,other,treating,"The verb 'treating' is used metaphorically to characterize the abstract approach or attitude toward 'immigrants' as an ethical or philosophical stance, rather than describing a physical action. It transcends its literal meaning of applying care or action to something, instead conveying a metaphorical 'handling' of a social group through respect for life.",'Surely they hold the same philosophy of treating the current despised immigrants with respect for life as the Senator they don't like?'
2462,23,right,Immigrants,person,they,other,have,"The verb 'have' is used metaphorically to describe the state of 'they' lacking options or resources. It transcends its literal meaning of physical possession by conveying a condition of existential limitation, personifying the abstract concept of 'no where to turn' as a state they 'have' (i.e., possess), which is not a physical action.",'Then demand money to build a wall so they have no where to turn and no hope.'
2515,23,right,Immigrants,person,he,other,felt,"The verb 'felt' is used metaphorically to describe the emotional experience of 'he' as an outsider. While 'felt' typically refers to physical sensations, here it transcends its literal meaning to convey an abstract emotional state (feeling like an outsider), which is a metaphorical extension of the verb's usage.","'He busted up the KKK, he fought the Nazis, he lived as an immigrant in a place where he always felt like an outsider...he'd hate the absolute guts of anyone s*****y enough to use ""social justice"" as a pejorative.'"
2516,23,right,Immigrants,person,he,other,hate,"The verb 'hate' is used metaphorically in the phrase 'hate the absolute guts of anyone,' where 'guts' metaphorically represents someone's courage or nerve. This idiom conveys intense disdain beyond a literal physical action, employing the source verb to express a heightened emotional state rather than a direct physical interaction with the target noun 'he.'","'He busted up the KKK, he fought the Nazis, he lived as an immigrant in a place where he always felt like an outsider...he'd hate the absolute guts of anyone s*****y enough to use ""social justice"" as a pejorative.'"
2572,23,right,Immigrants,person,you,other,unpack,"The verb 'unpack' is used metaphorically to describe the process of analyzing or revealing hidden aspects of Trump's character (racist heart, hypocrisy), rather than referring to a literal physical action of opening a package. It implies a conceptual act of exposing underlying truths, which transcends the verb's original meaning.","'Who do you unpack Trump's racist heart blended w/ his hypocrisy of systemic use of immigrants to clean his properties, if not his toilet?'"
2586,23,right,Immigrants,person,You,other,sound,"The verb 'sound' is used metaphorically to describe the manner in which 'You' are speaking, attributing a characteristic (monotonous, repetitive) associated with a drone. This transcends the literal physical act of producing sound, instead conveying a conceptual metaphor about the quality of speech.",'You sound like an effing drone.'
2938,23,right,Immigrants,person,people,other,denegarte,"The verb 'denegarte' (intended as 'denigrate') is used metaphorically to describe the act of criticizing or devaluing 'people' in a derogatory manner. It does not refer to a physical action but instead represents a conceptual action of verbal condemnation, transcending its literal meaning to convey a metaphorical 'attack' on the target noun.","'Also, Chicago has just become a dog whistle conservatives use to denegarte black people and immigrants so miss me with this shit, Tucker.'"
2948,23,right,Immigrants,person,me,other,miss,"The verb 'miss' is used metaphorically to convey dismissal or frustration rather than a literal absence. The phrase 'miss me with this shit' functions as an idiom expressing the speaker's exasperation with Tucker's remarks, transcending the literal meaning of 'miss' (not being present) to signify 'stop bothering me' or 'don't talk to me like that'.","'Also, Chicago has just become a dog whistle conservatives use to denegarte black people and immigrants so miss me with this shit, Tucker.'"
207,24,left,Anti-Immigration Sentiment,thing,vote,force,control,"The verb 'control' is used metaphorically to describe the abstract act of influencing or manipulating the 'vote' as a process or system, rather than referring to a physical action. The context suggests exerting power over the voting process through corruption, which transcends the literal meaning of 'control' as a tangible action.","'this is what happens when your power hungry, u need more illegals coming into the country to control the vote"" they are corrupt, and have no conscience, they could care less,  to get more illegal scum in.'"
694,24,left,Criticism of Democratic Party,thing,shackles,spatial motion,Throw,"The verb 'throw' is used metaphorically to describe the act of removing 'shackles,' which symbolize oppression or constraints. The physical action of throwing is transcended here to represent breaking free from metaphorical bondage, rather than a literal physical act of discarding chains.",'Throw off the shackles and escape the #DemocratPlantation'
542,24,left,Democratic Party,organization,Democrats,force,control,"The verb 'control' is used metaphorically to describe the Democrats' influence over the government. While 'control' can have a literal meaning of managing a physical object or system, in this context, it refers to abstract political power and authority, transcending its literal action-based definition to convey dominance over an abstract entity (the government).","'If Democrats control government they will allow poverty to grow, knowing it creates dependency &amp; that = votes.'"
119,24,left,Government Officials,person,him,force,spring,"The verb 'spring' is used metaphorically to describe the act of triggering the trap, not a physical jump. It conveys the idea of activating a premeditated action (setting the trap in motion) rather than a literal physical movement.",'Wait patiently for him to spring the trap he has set to drain the DOJ  part of the #DCSwamp.'
903,24,left,Immigrant Families,person,children,spatial motion,caging,"The verb 'caging' is used metaphorically to describe the restriction or confinement of children, implying a non-physical act of limiting their freedom or subjecting them to harsh conditions. The source verb 'caging' (originally referring to physical confinement) is applied to 'children' to characterize a metaphorical act of control or oppression, rather than a literal physical action.","'Obama's was the administration of caging children, deporting poor people just trying for a better life &amp; despite having majorities in both houses, refused to pass comprehensive immigration reform.'"
44,24,left,Immigrants,person,her,force,touch,"The verb 'touch' is used metaphorically to signify avoiding physical or social contact with 'her', transcending its literal meaning of physical interaction. The phrase 'wouldn't even touch her' implies a refusal to engage with her, leveraging the metaphorical extension of 'touch' to represent social or physical proximity.","'You know darn well if she was one of the Muslim ""migrants"", they wouldn't even touch her.'"
156,24,left,Immigrants,person,people,force,weaponized,"The verb 'weaponized' is used metaphorically to describe 'people' as tools or instruments being employed in a strategic manner, analogous to how a weapon is used. This transcends its literal meaning of equipping something with a weapon, instead implying that people are being mobilized as agents of attack, reflecting a metaphorical extension of the source verb.","'Caravans have weaponized Honduran poor people and are using them to target and attack America's immigration system, wealth and social programs.'"
587,24,left,Immigrants,person,you,force,breathe,"The verb 'breathe' is used metaphorically to characterize 'you' by implying that lying is as effortless as the physical act of breathing. The comparison transcends the literal meaning of 'breathe' (a physical action) to convey a conceptual equivalence about the ease of lying, personifying the act of lying as something natural and effortless.",'You lie as easy as you breathe.'
1152,24,left,Immigrants,person,they,force,win,"The verb 'win' is used metaphorically to describe the group 'they' achieving success or overcoming challenges without direct physical action. The verb transcends its literal meaning of gaining victory in a competition, instead implying abstract success or progress without a specified object, aligning with metaphorical personification or conceptualization of the target noun.","'Without resistance, they win'"
442,24,left,Immigrants,person,migrants,spatial motion,spread,"The verb 'spread' is used metaphorically to describe the dissemination of information ('word') by migrants. While 'spread' can denote physical movement, here it transcends its literal meaning to represent the abstract process of sharing news, which is not a physical action but a conceptual transmission.","'10/10 Fierro fears that as migrants spread word of where to go, the “dam” in Mexico will overflow.'"
945,24,left,Immigration Policy,thing,legislation,force,control,"The verb 'control' is used metaphorically to describe influence over an abstract process (legislation) rather than a physical action. The metaphorical aspect lies in applying a verb typically associated with direct management to an abstract concept, implying authority or regulation without literal physical interaction.",'They can control all legislation.'
980,24,left,Immigration Policy,thing,rules,force,set,"The verb 'set' is used metaphorically here as part of the phrasal verb 'set aside,' which conveys the abstract action of removing or disregarding the rules rather than a literal physical placement. The metaphorical aspect lies in using 'set' to describe the non-physical act of excluding the rules from active consideration, transcending its literal meaning of positioning an object.",'He set aside the rules Obama had put in place over the years.'
