,cluster,target_group,source_image_schema_group,source_word,target_word,llm_expl,tweet
987300034415857671_2_4_6,101,Other,force,give,hoot,"The verb 'give' is used metaphorically to convey indifference or lack of concern, rather than describing a physical action. The phrase 'give a hoot' is an idiom where 'give' does not refer to transferring ownership or performing a tangible action but instead signifies 'not care at all,' transcending its literal meaning.",'And they don't give a hoot about Limits to Growth.'
1149931527913922560_2_14_17,101,Other,force,giving,heads,"The verb 'giving' is used metaphorically in the phrase 'give a heads up,' which is an idiom meaning to warn or inform someone beforehand. Here, 'giving' does not refer to the physical act of transferring a head but instead conveys the abstract action of providing advance notice, transcending its literal meaning.",'All Patriots can help and report any of them you know are here by giving ICE a heads up.'
1076173485376966656_1_7_6,101,Political Figures,force,give,they,"The verb 'give' is used metaphorically in the phrase 'give in,' which represents yielding to pressure or surrendering to external influence. This usage transcends the literal action of physically handing over something and instead conveys a conceptual act of concession, personifying the senators' decision-making process.","'Senators have a choice — Will they give in, or will they serve their constituents and stand up…'"
1061823967340695553_0_8_6,101,Religious Organizations,force,giving,church,"The verb 'giving' is used metaphorically to describe the church's action of providing a platform (support/opportunity) for the man's speech, which transcends its literal meaning of transferring physical objects. The church is not literally giving a tangible platform but rather metaphorically 'giving' a space for expression, implying endorsement or facilitation.","'It is sad to that a church is giving a platform to a man who is calling for unlawful votes to count, which includes illegals and ballots in which signatures don't match.'"
979027926539689984_3_7_9,101,Undocumented Immigrants,force,give,illegals,"The verb 'give' is used metaphorically to characterize the target noun 'illegals' by implying an action of providing or supplying people, which transcends its literal meaning of transferring physical objects. The verb does not describe a direct physical action but rather conveys a conceptualized act of distributing individuals, suggesting personification or metaphorical extension.",'no you just waste our money and give us illegals and bums.'
1056092526837301248_0_1_0,102,Democratic Party,other,exploit,Democrats,"The verb 'exploit' is used metaphorically to describe Democrats' actions of manipulating or taking advantage of illegal aliens for political gain. This transcends the literal meaning of 'exploit' (which typically involves using resources or people in a physical or tangible way) and instead conveys a figurative sense of strategic manipulation, implying a metaphorical 'use' of individuals for ulterior motives.","'Democrats exploit illegal aliens for political gain, and you smear Conservatives?'"
1085308595586117634_1_4_5,102,Immigration Policy,force,exploiting,loopholes,"The verb 'exploiting' is used metaphorically to describe the action of taking advantage of abstract 'loopholes' (legal/regulatory gaps) for gain. This transcends a physical action, as 'loopholes' are not tangible entities, and the verb conveys a conceptual, non-literal use of 'exploit' to signify strategic advantage over abstract systems.",'This organized migration is exploiting loopholes &amp; the people they encourage &amp; likely pay to make the trip.'
1008921896346439680_0_24_26,102,Immigration Policy,other,exploit,loophole,"The verb 'exploit' is used metaphorically to describe the act of taking advantage of a legal loophole, which is an abstract concept rather than a physical object. The verb transcends its literal meaning of physically using something to instead signify leveraging a systemic weakness for gain, without direct physical action.","'DHS: 300% increase in family-based immigration fraud in the past fiscal year as cartels, human traffickers &amp; others exploit family loophole.'"
1053348394620596224_3_4_7,102,Immigration Policy,other,exploit,system,"The verb 'exploit' is used metaphorically to describe the action of using the immigration system in a way that serves the parents' interests, transcending its literal physical action. 'Exploit' typically refers to taking advantage of a resource or system in a way that is not fair or ethical, which applies here to an abstract concept (the system) rather than a tangible object.",'Their parents CHOSE to exploit our immigration system and USE them to gain  should be free-market which would drive down cost-socialized medicine would sink country'
1103419017669369857_0_10_12,102,Legal and Asylum Terminology,other,exploit,laws,"The verb 'exploit' is used metaphorically to describe the misuse of abstract concepts (laws) as if they were tangible resources. While 'exploit' can have a literal meaning of using something for benefit, here it transcends physical action by implying manipulation of legal systems for personal gain, personifying laws as entities that can be 'used' in a non-physical, abstract sense.",'I'm so shocked that the President's family would exploit immigration laws for their own financial gain.'
1008921896346439680_0_24_23,102,Other,other,exploit,others,"The verb 'exploit' is used metaphorically to describe 'others' as entities actively using the family loophole for fraudulent purposes. This transcends the literal meaning of 'exploit' (which implies taking advantage of a resource or situation) and characterizes 'others' as agents engaging in manipulative behavior, rather than describing a physical action.","'DHS: 300% increase in family-based immigration fraud in the past fiscal year as cartels, human traffickers &amp; others exploit family loophole.'"
1067793571724562432_2_6_8,102,Political Rhetoric and Partisan Debate,other,exploit,blocks,"The verb 'exploit' is used metaphorically to describe the strategic manipulation of 'voter blocks' as if they were resources or entities that can be utilized for gain. This transcends the literal physical action of exploiting something, instead implying a conceptual or strategic use of the target noun.",'Your party divides by race to exploit voter blocks.'
1056092526837301248_0_1_3,102,Undocumented Immigrants,other,exploit,aliens,"The verb 'exploit' is used metaphorically to convey that Democrats are using 'illegal aliens' as a resource or tool for political gain, transcending its literal meaning of physical labor or resource extraction. It implies a figurative 'use' of the target noun for selfish purposes, rather than describing a direct physical action.","'Democrats exploit illegal aliens for political gain, and you smear Conservatives?'"
1065904990294876161_0_2_5,103,Anti-Immigration Sentiment,spatial motion,DROPS,Bomb,"The verb 'DROPS' is used metaphorically to characterize the target noun 'Bomb' as part of the idiomatic expression 'Truth Bomb.' Here, 'DROPS' does not refer to a physical action but instead metaphorically conveys the idea of delivering a shocking or impactful statement, akin to deploying a bomb. This usage personifies the 'Truth Bomb' as an explosive idea, transcending the literal meaning of the verb.",'Ann Coulter DROPS A Truth Bomb About The Migrant Caravan - Calls It A Po...  via'
1037097599008792576_2_9_11,103,Anti-Immigration Sentiment,spatial motion,drop,programs,"The verb 'drop' is used metaphorically to describe the discontinuation or elimination of 'programs' rather than a physical action. It signifies the cessation of programs, which transcends the literal meaning of the verb (physically letting go of an object) and instead conveys a conceptual action of removing or abandoning something.",'The state of Texas has effectively forced schools to drop their programs:'
1036612865803907072_2_6_4,103,Anti-Immigration Sentiment,spatial motion,drop,crackdown,"The verb 'drop' is used metaphorically to describe the action of immigrants leaving nutrition programs, implying that the 'crackdown' (a policy/action) causes them to 'drop out' as if it were a tangible force. The verb transcends its literal meaning of physical removal, instead conveying the abstract impact of the policy on individuals' participation.","'Immigrants, fearing Trump crackdown, drop out of nutrition programs - POLITICO'"
1073006074901319681_4_14_13,103,Anti-Immigration Sentiment,spatial motion,dropped,standards,"The verb 'dropped' is used metaphorically to describe the decline of abstract 'standards' rather than a physical action. 'Dropped' here conveys a decrease in quality or expectation, not a literal physical movement, as standards are abstract concepts.","'Except for the #TinyHands, but being a Trump boy, your standards dropped to nothing long ago.'"
1117068501355778048_0_21_24,103,Other,spatial motion,drop,underclass,"The verb 'drop' is used metaphorically to describe the act of discarding or abandoning the 'underclass' as if they were an object or waste product, rather than referring to a physical action. This personification of the underclass as something to be 'dropped' transcends the literal meaning of the verb.",'I agree the Democrats have been playing illegals for political gain and now Trump is going to grant their wishes and drop their favored underclass in moonbat backyards.'
1065904990294876161_0_2_1,103,Political Figures,spatial motion,DROPS,Coulter,"The verb 'DROPS' is used metaphorically to characterize the target noun 'Coulter' by implying the act of delivering a 'truth bomb,' which metaphorically represents a shocking or impactful statement rather than a physical action.",'Ann Coulter DROPS A Truth Bomb About The Migrant Caravan - Calls It A Po...  via'
1137475253284696064_1_3_4,103,Undocumented Immigrants,spatial motion,drop,them,"The verb 'drop' is used metaphorically to describe the act of relocating or transferring individuals ('them') to sanctuary cities, transcending its literal physical action of dropping something. The context suggests a metaphorical 'dropping off' as a policy action rather than a literal physical movement.",'We have to drop them off in sancturary cities who vouch safe for illegals  THE GOV WONT GO broke paying illegals welfare so states better BUDGET for influx of applicants'
1116885039134969856_0_5_8,103,Undocumented Immigrants,spatial motion,drop,immigrants,"The verb 'drop' is used metaphorically to describe the forced placement of immigrants into neighborhoods, transcending its literal meaning of physically releasing an object. It conveys an abrupt, involuntary action, implying a metaphorical 'dropping' into a location, rather than a physical act.",'Why dont we just drop the illegal immigrants into the neighborhoods of those Dems who voted for sanctuary cities.'
1116885039134969856_0_5_3,103,Undocumented Immigrants,spatial motion,drop,we,"The verb 'drop' is used metaphorically to describe the action of relocating illegal immigrants, transcending its literal meaning of physically letting something fall. Here, 'drop' signifies a forced or abrupt movement of people, implying dehumanization and a lack of care, rather than a physical action.",'Why dont we just drop the illegal immigrants into the neighborhoods of those Dems who voted for sanctuary cities.'
983849149824036864_1_10_9,103,Undocumented Immigrants,spatial motion,dropped,u,"The verb 'dropped' is used metaphorically to signify the act of abandoning or discarding the states (target noun 'u' refers to the subject performing the action). The literal meaning of 'dropped' (physically letting something fall) is transcended here, as it describes a figurative action of ceasing to support or engage with the states, which are not physical entities.",'U could not get votes due to states so u dropped them as they r no longer needed.'
1154788813375496192_2_19_21,104,Economic Impact,force,bear,cost,"The verb 'bear' is used metaphorically to describe the act of enduring or accepting the financial burden of 'cost,' rather than referring to a physical action of carrying or supporting. Here, 'bear' conveys the conceptual metaphor of tolerating a burden, which transcends its literal meaning of physical support.",'I think people don’t understand the economic consequences of mass-scale deportation nor are they ready to bear the cost.'
1146461383900499968_0_21_22,104,Undocumented Immigrants,other,afford,them,"The verb 'afford' is used metaphorically to describe the inability to handle the burden or cost of managing the problem of 'them' (illegals), transcending its literal financial meaning. It conveys a conceptualization of 'afford' as bearing the responsibility or burden, rather than referring to a physical action or monetary transaction.","'Yes the dems refuse to help solve the problem of illegals, we can’t afford them, Mexico couldn’t afford them but these democratic clowns refuse to work w/prez to fix it!!!'"
1146461383900499968_0_15_16,104,Undocumented Immigrants,other,afford,them,"The verb 'afford' is used metaphorically to describe the ability to handle or manage the burden of 'them' (illegals), transcending its literal financial meaning. It implies an inability to cope with the social or political challenges associated with the issue, rather than a direct reference to monetary resources.","'Yes the dems refuse to help solve the problem of illegals, we can’t afford them, Mexico couldn’t afford them but these democratic clowns refuse to work w/prez to fix it!!!'"
1107068765110448128_1_0_3,104,Undocumented Immigrants,other,Treating,themselves,"The verb 'treating' is used metaphorically to characterize 'themselves' by comparing their treatment to how cattle are treated. This transcends the literal meaning of 'treating' (physical action) and employs a simile ('like cattle') to convey a figurative, non-physical metaphorical relationship, implying dehumanization or exploitation.",'Treating illegal immigrants themselves like cattle serves no purpose other than fulfilling someone's power fantasy.'
987300034415857671_1_12_11,104,Undocumented Immigrants,other,hire,who,"The verb 'hire' is used metaphorically to represent a transactional relationship where individuals are being 'bought' or exploited for political gain. The phrase 'hire under the table' extends beyond literal employment, implying a covert or corrupt exchange of votes, personifying the target noun 'who' as entities being used as tools for influence.","'Their allowing Illegal Immigration also ""Buy$ Vote$"" because those who hire ""under the table"" vote for them as well as Illegals.'"
1136636848816697345_3_4_5,104,Undocumented Immigrants,other,afford,them,"The verb 'afford' is used metaphorically here, where its literal meaning of 'having sufficient financial means' is extended to signify the ability to permit or allow 'them' to be freeloaders. The source verb's application transcends physical action, instead conveying a conceptualization of tolerance or capacity for a social/behavioral state.",'We taxpayers can't afford them to be #Freeloaders in our country.'
1156329705441832962_1_5_2,104,Undocumented Immigrants,other,put,babies,"The verb 'put' is used metaphorically in the phrase 'put up for adoption,' where it represents the process of making babies available for adoption rather than describing a direct physical action. The phrasal verb 'put up' here signifies a figurative act of placing the babies into a legal/ethical framework, transcending its literal meaning of physical placement.",'All Anchor babies must be put up for Adoption if parents refuse to work.'
1053726464590467073_0_13_11,104,Undocumented Immigrants,other,expect,you,"The verb 'expect' is used metaphorically here to describe the mental anticipation or projection of a reaction (the American people's response) rather than a physical action. It transcends its literal meaning of anticipating an event by implying a cognitive process of predicting behavior, which is not a direct physical action.",'when you have a caravan of illegals breaking borders down do you actually expect the American people to welcome them?'
1139088620814524416_3_19_17,104,Undocumented Immigrants,other,reward,we,"The verb 'reward' is used metaphorically to characterize the target noun 'we.' In this context, 'reward' transcends its literal meaning of giving something as a reward for a positive action. Instead, it is applied to a situation where 'we' are granting amnesty (a form of leniency) for an illegal act, which is not a typical reward scenario. The metaphorical aspect lies in the conceptualization of 'we' as acting in a way that is not a direct physical action but rather a symbolic or administrative gesture, implying a non-literal use of the verb.","'Y advertise to the world,jump the fence or overstay ur visa,illegal aliens&amp;we will reward u with amnesty.'"
1113449112266072064_1_13_11,104,Undocumented Immigrants,other,bankrupt,who,"The verb 'bankrupt' is used metaphorically to describe the welfare system, which is an abstract entity. The verb transcends its literal meaning (financial ruin of a person or entity) by applying it to a system, implying it will be 'ruined' in a way that personifies the system as if it could experience bankruptcy. This is a metaphorical extension of the source verb.",'Castro is a radical leftist aiming to flood America with illegals who will bankrupt our welfare system and vote Democrat.'
1075434814730395648_0_1_0,104,Undocumented Immigrants,other,reported,He,"The verb 'reported' is used metaphorically to describe the action of accusing or bringing to light the company's wrongdoing, transcending its literal meaning of physically documenting information. It conveys a conceptual action of moral judgment rather than a physical act.",'He reported his company for exploiting undocumented workers.'
1048225997265494016_1_16_15,104,Undocumented Immigrants,other,put,husband,"The verb 'put' is used metaphorically to describe the husband's role in generating or disseminating ideas, actions, or content (e.g., 'supported everything her husband put out'). This transcends its literal meaning of physically placing an object, instead implying the husband's active production or release of abstract entities, which is a metaphorical extension of the verb's source meaning.","'BTW, she still married the orange horror for money, supported everything her horrible husband put out, worked illegally as an immigrant, and imported her parents using a rule her husband wants to outlaw'"
987009113715625984_1_10_12,104,Undocumented Immigrants,other,mocked,Morones,"The verb 'mocked' is used metaphorically to describe the act of ridiculing or belittling a statement or claim, rather than referring to a physical action. Here, it attributes the action of mocking to Enrique Morones in the context of his critique of David Hogg's actions, transcending its literal meaning of physically mocking someone.","'David Hogg got rid of half of them,” mocked Enrique Morones of Border Angels, an immigrant rights group.'"
1116166243197890561_1_12_9,104,Undocumented Immigrants,other,reproducing,they,"The verb 'reproducing' is used metaphorically to describe the proliferation of 'government dependent people,' attributing a biological process (reproduction) to a social group. This transcends its literal meaning of producing offspring and instead conveys a conceptual metaphor of growth/multiplication without referring to physical action.","'Tell the truth....you want their votes because they are mass reproducing, government dependent people.'"
1072948337786130438_1_4_5,104,Undocumented Immigrants,other,exposes,them,"The verb 'exposes' is used metaphorically to reveal the true nature or character of 'them' as extortionists and leeches, transcending its literal meaning of physically uncovering something. It attributes a human quality (being extortionists) to the target noun, functioning as a metaphorical characterization rather than describing a physical action.","'To me, it exposes them for nothing more than extortionists &amp; the ones here as despicable leeches.'"
1009390790173495296_0_16_17,104,Undocumented Immigrants,other,adopt,them,"The verb 'adopt' is used metaphorically to describe the act of taking in or accepting 'them' (illegals) into a group or system, transcending its literal meaning of legally taking in a child. The use of 'adopt' here implies a symbolic or social incorporation rather than a physical or legal action.","'Tell Trump to send some of those illegals to Canada, and Hollywood so you can adopt them.'"
1009390790173495296_0_16_14,104,Undocumented Immigrants,other,adopt,you,"The verb 'adopt' is used metaphorically here. While the literal meaning of 'adopt' involves taking in a child, the sentence uses it to describe a broader action of accepting or integrating individuals (illegals) into a group or society. This extends the source verb's meaning beyond its physical action, implying a metaphorical 'taking in' or 'accepting' rather than a literal legal adoption process.","'Tell Trump to send some of those illegals to Canada, and Hollywood so you can adopt them.'"
1008694595272650752_1_4_3,104,Undocumented Immigrants,other,implies,breakers,"The verb 'implies' is used metaphorically to suggest a conceptual or ideological connection between 'coddling the law breakers' and the term 'permisso' (likely a reference to Obama's policy). The verb transcends its literal meaning of direct logical inference, instead conveying a metaphorical equivalence between the action of coddling and the policy implication, personifying the abstract relationship between the action and its ideological consequence.","'Coddling the law breakers implies ""permisso"" ala Obama , who was promptly inundated with trainloads of child migrants you see elsewhere in cages.'"
1088916264947306497_1_5_1,104,Undocumented Immigrants,other,sold,he,"The verb 'sold' is used metaphorically to describe the target noun 'he' in the context of being cheated or wronged, rather than referring to a literal physical action of selling. The phrase 'sold down the river' is an idiom indicating betrayal or exploitation, not a literal transaction.",'Hope he hasn’t been sold down the river'
980816175595704320_2_16_15,104,Undocumented Immigrants,other,gives,one,"The verb 'gives' is used metaphorically in the idiom 'gives a hoot,' which signifies 'caring about' or 'showing interest in.' Here, 'gives' does not describe a physical action of transferring something but instead personifies the target noun 'one' as an entity that can be 'given' (i.e., attention or concern), transcending its literal meaning.","'Help r own LEGAL dreamers in south Chicago, Appalachia, south central LA no one gives a hoot about them.'"
980816175595704320_1_6_4,104,Undocumented Immigrants,other,keep,they,"The verb 'keep' is used metaphorically to describe the continuation of the metaphorical action 'flooding in,' which represents an influx of people. Here, 'keep' does not denote a physical action of holding onto something but rather sustains the metaphorical process of persistent arrival, transcending its literal meaning.",'Give them amnesty and they will keep flooding in.'
1202588828957126656_2_2_3,104,Undocumented Immigrants,other,Treats,them,"The verb 'treats' is used metaphorically to describe the manner in which 'them' is being handled, implying harsh or dehumanizing treatment. The phrase 'treats them like shit' employs a simile to convey contemptuous treatment, transcending the literal meaning of 'treat' (which involves providing something) to signify abusive or degrading conditions.",'Exploits them Treats them like shit no benefits horrible working conditions!'
1102920895860039680_2_2_0,104,Undocumented Immigrants,other,living,They,"The verb 'living' is used metaphorically to describe 'They' as relying on tax dollars for sustenance, extending the literal meaning of 'living' (surviving physically) to a figurative sense of dependent existence on financial resources. The phrase 'living off' signifies exploitation or reliance, not a physical action.","'They are living off our tax dollars,  then voting Democrat'"
1162030355161014272_0_4_5,104,Undocumented Immigrants,other,compares,migrants,"The verb 'compares' is used metaphorically to characterize 'migrants' by attributing the conceptual framework of 'Nazis' to them, which transcends a literal description of physical action. The verb serves to frame migrants within a metaphorical analogy, implying a symbolic or ideological comparison rather than a direct physical equivalence.",'🚨🚨🚨 Fox News host compares migrants entering US to Nazis'
1140703609077850112_0_6_4,104,Undocumented Immigrants,other,excommunicated,you,"The verb 'excommunicated' is typically associated with religious expulsion from a church or community. Applying it to 'the United States' (a country) metaphorically extends its source meaning beyond its literal religious context, personifying the nation as a communal entity subject to disciplinary action, which is not a physical action but a conceptual metaphor.","'One caveat: When you are excommunicated from the United States, you would be required to take 100 illegal immigrants with you.'"
1158553439049097217_1_40_39,104,Undocumented Immigrants,other,mean,I,The verb 'mean' is used metaphorically to express the speaker's intention to clarify or correct their previous statement. It transcends its literal meaning of physical action by conveying a mental state (intent) rather than describing a tangible activity. The metaphorical aspect lies in using 'mean' to characterize the speaker's purposeful clarification of their utterance.,"'He’s getting a second term, and it will be glorious when we get the house back as a matter of fact we will be able to actually fix healthcare and limit the flow of future votes ooops I mean illegal aliens.'"
1034822910949638144_0_16_19,104,Undocumented Immigrants,other,exploit,workers,"The verb 'exploit' is used metaphorically to personify the target noun 'workers' as resources or means to an end, transcending its literal meaning of physical use. It conveys unfair treatment of workers as labor, not a direct physical action.",'And that’s done shxt to keep illegals out but of course American farmers tend to exploit Mexican farm workers so it’s great for them.'
1099393364112347136_2_2_0,104,Undocumented Immigrants,other,counting,They,"The verb 'counting' is used metaphorically in the phrase 'counting on', which signifies reliance or dependence rather than a literal physical action. The source verb 'counting' transcends its literal meaning of determining quantity to convey the conceptual idea of trusting or depending on something (the 'illegals vote' and 'millennials'). This usage involves personification or conceptual metaphor, as it does not describe a direct physical action.",'They're counting on the illegals vote and millennials who don't know socialism is not a good form of government.'
1140430416006057985_0_35_33,104,Undocumented Immigrants,other,murder,them,"The verb 'murder' is used metaphorically to characterize the action of 'them' (illegal immigrants) causing severe harm to American children. The term 'murder' transcends its literal meaning of physical killing, instead conveying extreme negative consequences or exploitation, suggesting the administration's policies enable destructive actions toward children, rather than literal killing.",'let me correct u ...we remember then OBAMA administration cruelly separated children from their FAKE PARENTS..the obamas administration's approach to immigration has allowed ILLEGALS into this country to allow them to murder the kids of americans ....lets talk about being cruel'
982863213644713985_0_51_50,104,Undocumented Immigrants,other,make,they,"The verb 'make' is used metaphorically to describe the abstract action of earning money through work, rather than a literal physical action of creating money. The target noun 'they' refers to people, and the phrase 'money they make' signifies earning wages, which is a conceptualization of economic activity, not a direct physical production of money.","'Without illegal immigrants taking our jobs and accepting low under-the-table wages we would have more legal aliens/citizens willing to work these job for a fair wage, pay taxes, and not drain our economy through remittances to Mexico but actually spend the money they make here.'"
1097378281668567041_2_11_10,104,Undocumented Immigrants,other,make,you,"The verb 'make' is used metaphorically to personify 'you' by attributing the abstract action of causing 'legals' to pay. This transcends the literal meaning of 'make' (a physical action) and instead conveys a conceptual responsibility or obligation, implying 'you' are compelling others to bear financial costs.",'There are 25-30 million illegals here &amp; you make legals pay for them at the cost of billions a year!'
1023120918133002240_1_12_15,104,Undocumented Immigrants,other,harbor,invaders,"The verb 'harbor' is used metaphorically to describe the act of providing shelter or protection to 'illegal alien invaders,' which transcends its literal physical meaning of sheltering entities (e.g., ships in a harbor). Here, 'harbor' figuratively conveys allowing individuals to reside within a city's jurisdiction, implying a non-physical, abstract action.",'Doing so grants MORE POWER to sanctuary cities &amp; states that harbor illegal alien invaders.'
986768270052216832_1_2_0,104,Undocumented Immigrants,other,documented,I,"The verb 'documented' is used metaphorically to describe the target noun 'I'. The phrase 'I am documented' implies a conceptualization of the self as a document or subject of documentation, transcending the literal action of recording information. It personifies 'I' as an object to be recorded, rather than describing a physical action of documenting a tangible entity.",'I am documented.'
1037456315629621248_0_11_12,104,Undocumented Immigrants,other,amaze,me,"The verb 'amaze' is used metaphorically to convey an emotional reaction (awe or astonishment) rather than a physical action. It describes the effect of the obsession on the target noun 'me,' representing an internal emotional state rather than a literal, tangible action.",'Dems' obsession with abortion and illegal immigrants never cease to amaze me.'
1081605381657219072_3_1_0,104,Undocumented Immigrants,other,live,Illegals,"The verb 'live' is used metaphorically here to describe 'Illegals' subsisting by taking advantage of others' resources ('your backs'), rather than referring to a physical act of living. The phrase 'live off your backs' implies a figurative action of relying on others' support without contributing, transcending the literal meaning of 'live'.",'Illegals live off your backs they dont contribute to your country.'
1122260495602335744_2_10_11,104,Undocumented Immigrants,other,want,you,"The verb 'want' is used metaphorically to express a desire or intention, which transcends the literal physical action. It characterizes the target noun 'you' by conveying the speaker's emotional stance rather than describing a tangible, physical action.",'we didn’t bring you here and we don’t want you here.'
1072599371273945091_0_19_20,104,Undocumented Immigrants,other,keep,them,"The verb 'keep' is used metaphorically to describe the action of maintaining a boundary or state, transcending its literal physical action. Here, 'keep them out' refers to controlling or preventing people from exiting, which is a conceptual action rather than a direct physical interaction with 'them'.",'So it's okay for taxpayers to fund sanctuary cities to keep illegals in but not borders walls to keep them out?'
1067713884147060737_1_5_2,104,Undocumented Immigrants,other,run,you,"The verb 'run' is used metaphorically to describe the action of illegally occupying or violating a country's sovereignty. While 'run' typically denotes physical movement, here it is extended to signify a legal transgression, transcending its literal meaning to convey a conceptual action.","'Moreover, you can't run over a country illegally and expect to be handed a soda.'"
1040204041060581376_0_11_12,104,Undocumented Immigrants,other,called,them,"The verb 'called' is used metaphorically to describe the act of classifying or designating 'them' as per the US government's categorization. While 'called' literally refers to uttering speech, here it transcends its physical action to signify an abstract process of labeling or assigning a category, which is a metaphorical extension of the verb's meaning.","'You, I,  all of us including Tweeter, Will called them exactly as classified by our US government.'"
1089483776932151296_2_11_9,104,Undocumented Immigrants,other,screwed,they,"The verb 'screwed' is used metaphorically to describe the state of 'they' (people) as being in a dire situation, transcending its literal meaning of physically fastening or damaging something. It conveys a figurative sense of being in trouble or at risk, without referring to a physical action.",'They need their illegal voters in the USA or they're screwed!'
1150136768638750721_2_2_6,104,Undocumented Immigrants,other,clean,breakers,"The verb 'clean' is used metaphorically to describe the action of removing or eliminating 'law breakers,' which does not correspond to a physical cleaning action. The phrase 'clean out' here serves as a metaphor for purging or expelling individuals, transcending its literal meaning of removing physical dirt or debris.",'America-clean out the law breakers-including our'
1010333694446297088_0_43_45,105,Anti-Immigration Sentiment,spatial motion,slowing,flow,"The verb 'slowing' is applied to the abstract concept 'flow' (representing the movement of people), which is not a physical entity that can be slowed in a literal sense. The metaphorical use here personifies the 'flow' as something that can be actively slowed, transcending its literal meaning of reducing physical speed.","'With Mexican farmworkers able to earn seven to ten times as much in the United States as at home,  by the 1980s illegals were pouring across our border at the rate of  about 225,000 a year, and U.S. sentiment rose for slowing the flow.('"
1082005629424844802_2_4_1,105,Border Control and Security,spatial motion,slow,Wall,"The verb 'slow' is used metaphorically to describe the Wall's role in hindering the flow of drugs, which is not a physical action the Wall performs. The Wall's function here is conceptualized as actively impeding movement, transcending its literal physical presence.",'The Wall will not slow the flow of drugs into this country.'
980934049375162368_0_5_6,105,Immigration Policy,spatial motion,speed,deportations,"The verb 'speed' is used metaphorically here. While 'speed' literally refers to increasing the rate of physical movement, in this context, it is applied to the non-physical process of deportations. The verb transcends its original meaning by describing the acceleration of an administrative action rather than a physical action, without personification or animalization.","'Trump administration, seeking to speed deportations, will impose quotas on federal immigration judges - The Washington Post'"
1112890640273035265_1_9_13,105,Immigration Policy,spatial motion,rush,policies,"The verb 'rush' is used metaphorically to describe the hurried enactment of policies, implying that the policies are being implemented quickly or carelessly, rather than describing a physical action of the policies themselves.","'Trump incapable of addressing humanitarian crisis and continues to rush inhumane, cruel policies.'"
1009627799387299844_2_13_11,105,Immigration Policy,spatial motion,speed,which,"The verb 'speed' is used metaphorically to describe the effect of the immigration judges on the process. It does not refer to a physical action but instead implies that the judges will make the process faster, transcending the literal meaning of 'speed' as a physical action.",'There is a bill going tomorrow to double the immigration judges which would speed things up.'
1128121386181058560_1_7_6,105,Immigration Policy,spatial motion,arrives,Immigration,"The verb 'arrives' is used metaphorically to personify the target noun 'Immigration,' implying that the abstract concept of immigration is being treated as a physical entity capable of arriving. This transcends the literal meaning of 'arrives,' which typically describes the movement of tangible objects or people.","'JLanaham, US Citizenship &amp; Immigration arrives.'"
1010382537099808768_1_3_0,105,Immigration Policy,spatial motion,going,This,"The verb 'going' is used metaphorically to describe the target noun 'This' as an ongoing process or situation. Instead of referring to physical movement, 'going' here signifies the continuation of a state or event over time, which is a non-literal use of the verb.",'This has been going on this whole century!'
1054448894854266880_0_16_12,105,Immigration Policy,spatial motion,get,situations,"The verb 'get' is used metaphorically to characterize 'situations' by implying that the Immigration Laws can 'obtain' or 'handle' situations in a way that transcends its literal meaning of physically acquiring something. The metaphorical use here extends 'get' to suggest that the laws are capable of adapting to situations, which is a conceptualization rather than a physical action.",'If your Immigration Laws were adaptable to real people &amp; real situations perhaps you'd get some REAL SUPPORT!'
970690005051084800_2_16_18,105,Immigration Policy,spatial motion,moving,goal,"The verb 'moving' is used metaphorically to describe shifting the criteria or standards for legal immigration, rather than a physical displacement of the goal posts. This metaphor conveys altering the conditions of the situation to make achieving the goal more difficult, which transcends the literal meaning of the verb.",'Just some much more than others.....&amp; in great part by the White House moving the goal posts 5 times to try to cut legal immigration in half.'
1152389061199454209_0_20_19,105,Immigration Policy,spatial motion,leads,it,"The verb 'leads' is used metaphorically to attribute a human action (guiding/directing) to the abstract concept of the immigration system. The system itself is not a physical entity capable of leading, but the metaphor implies that the system's structure or policies 'cause' the influx of migrants, personifying the system as an active agent.","'The problem with these refugee, asylum, and amnesty programs is that with our broken immigration system, it leads to a massive influx of chain migrants - these refugees end up sponsoring their whole extended families!'"
1009627799387299844_2_13_14,105,Legal and Asylum Terminology,spatial motion,speed,things,"The verb 'speed' is used metaphorically to describe accelerating the process of handling immigration cases, rather than referring to a physical action. 'Things' here represents abstract processes, and 'speed' is applied to indicate making them faster, transcending its literal meaning of increasing physical velocity.",'There is a bill going tomorrow to double the immigration judges which would speed things up.'
970701933232230400_0_27_25,105,Political Leaders,spatial motion,hurry,we,"The verb 'hurry' is used metaphorically to describe the action of accelerating a process (migration) rather than a physical action. It personifies the migration process, implying that 'we' must actively expedite it, which transcends the literal meaning of physically hastening something.","'A lot of liberal thinkers seem to be of the opinion that vast “red” regions of the county are economically doomed, and we must hurry the migration of their populations to bluer cities by, in effect, starving them out.'"
